# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,20.372700588169057,38.85337434035341,2.9871932046419376,0.33476241123140404,0.0,0.0
 0.030457626106416908,0.002319167470095722,0.07614406526604227,2.5,20.372700588169057,38.72297697396766,2.9871932046419376,0.33476241123140404,0.0,0.0
 0.04256895729381916,0.004530290312707499,0.1825664585005902,8.78701041098145,19.98501218259712,38.59257960758192,3.380499312064484,0.2958142888629361,-32.01038759266978,-2643.0114986836265
 0.05151382647227995,0.006634185794540426,0.23520695941524777,5.884993940595096,19.56712687951997,38.46218224119617,3.8507820162119892,0.25968751172877325,-46.71787756084976,-1644.2375706953385
 0.05875944407057611,0.008631680668707904,0.2756831763571401,5.5863032229868885,19.114673529348913,38.33178487481042,4.418132268457847,0.22633998695314092,-62.44510478685134,-2170.5847724699024
 0.06488023803998408,0.010523613220312492,0.30909920527640034,5.459427173382272,18.62238653621435,38.20138750842467,5.109277996391336,0.19572237030482512,-80.42861687471202,-2938.1011969596043
 0.07017360149564378,0.012310835867173547,0.33763459883906993,5.390786746781834,18.08386648220391,38.07099014203892,5.960275877385431,0.16777746879036506,-101.73494764177818,-4025.1025544609606
 0.07481769444426177,0.013994218504887296,0.3624782398497637,5.349514164673819,17.49126031962936,37.94059277565317,7.020516403685306,0.14243966433510022,-127.60428551519398,-5570.374701719548
 0.07915749052564476,0.015574652864599133,0.3641724933785806,0.39039934067063237,16.834828118179797,37.81019540926743,8.358801679826996,0.11963437323957388,-151.25876634285865,-5450.597305513617
 0.08346147972911208,0.017053058270760497,0.3434965415271839,-4.803904209318189,16.102347136685644,37.67979804288168,10.07276994869378,0.09927755772181397,-170.1865285591473,-4397.725301225264
 0.08773831469690672,0.018430389368710103,0.3220444810990284,-5.01587285684238,15.278278392202495,37.54940067649593,12.303860016316587,0.08127530699096579,-192.68191330470782,-5259.820618507596
 0.091985439530488,0.019707646678521405,0.3007345815955892,-5.017488380597039,14.34257962249243,37.419003310110185,15.26169814486875,0.06552350796796604,-220.31346060555043,-6505.941874456994
 0.09619976303539331,0.020885891292931492,0.2795809607493724,-5.019458240829123,13.26898047095621,37.288605943724434,19.26499182151687,0.05190762650016339,-254.75005663105716,-8171.32239265066
 0.10037753363329656,0.02196626580048989,0.25860072549235164,-5.0218734526855915,12.022420777551442,37.158208577338684,24.81228178178752,0.04030262145152691,-298.379162807645,-10443.15506420686
 0.10451419657951505,0.022950024816597407,0.23781464163204713,-5.024843486295153,10.555154034890636,37.02781121095294,32.708581943433714,0.030573016027701905,-354.6981617156163,-13614.596992838151
 0.10860425322178566,0.02383858079849127,0.2172478426608243,-5.028487566325024,8.800666170344886,36.89741384456719,44.300413074654486,0.022573152948140978,-428.9641973201973,-18157.703450129247
 0.11264118357192934,0.02463357500691974,0.19693037517978804,-5.032900178798753,6.663925180835543,36.76701647818144,61.92845577384238,0.01614766568137784,-529.2984530766776,-24854.096319226563
 0.11661760138828536,0.02533699140832149,0.17689700476353853,-5.038044627465238,4.005324413436043,36.636619111795696,89.82941963345262,0.0111322104059058,-668.5919061281732,-35029.88354959733
 0.12052609485450048,0.02595134688505877,0.15718472655711097,-5.04344663150132,0.6136375655878025,36.506221745409945,135.97055426288074,0.00735453352691815,-867.7734470239905,-50961.2060548484
 0.12436197600455477,0.026480022563211865,0.13782379001643816,-5.047324404302464,-3.839916748930136,36.375824379024195,215.70205307386126,0.004636024487247589,-1161.0251048719037,-76449.62040697297
 0.12813135200611886,0.026927864565261847,0.11881064713739141,-5.044108858112676,-9.877068436516836,36.245427012638444,357.8974757897919,0.0027940962640019894,-1601.6315923594805,-116891.09478724038
 0.13187461660243247,0.027302299750419194,0.10002904564269746,-5.017438925688076,-18.31569039951679,36.1150296462527,607.4397635979575,0.0016462537685660366,-2254.3482422563366,-174370.9623251469
 0.1357388346662306,0.027615341365708108,0.08101033899241837,-4.921747773102024,-30.301438668430546,35.98463227986695,982.1652385838867,0.0010181586160001223,-3101.7266808004565,-219288.4626472743
 0.13981466502410772,0.027886497339494498,0.0665277869728663,-3.5532764487026505,-46.796779938032444,35.85423491348121,1313.162009518999,0.0007615206598660985,-4047.111832739141,-231949.09231479507
 0.14395324761932232,0.028144140579422272,0.06225398043902375,-1.0326739736411965,-66.79135099581872,35.72383754709546,1267.711865206488,0.0007888227817739306,-4831.2606062050745,-189472.7857727512
 0.14797496866988807,0.028420091703015647,0.06861518243652327,1.5817113910982632,-86.2639584876079,35.593440180709706,902.5996439135774,0.0011079109179171673,-4841.859305246915,-2635.3640415588493
 0.1517868965094147,0.028740133554696012,0.08395800370662523,4.024950606621984,-101.7225125295168,35.463042814323956,551.1867024100328,0.0018142672811727067,-4055.311299866723,206338.639788592
 0.15549056542196035,0.02912067440810833,0.10274699558680622,5.0730754621548355,-112.80259396588882,35.33264544793821,327.8699582031129,0.0030499897138502323,-2991.650090222654,287191.22436702426
 0.15920436435257557,0.029571123550802044,0.1212906651947076,4.993180824905215,-120.61407937653229,35.20224808155246,201.1412570767414,0.004971630457785546,-2103.3678873264807,239184.2475836525
 0.16295999131147382,0.030096776985965364,0.13996422991849142,4.972156427714505,-126.24094974581061,35.07185071516671,129.28767878434633,0.007734689101101538,-1498.2506065855432,161122.8397717261
