# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,73.86247037116443,-131.63353933657,1.237847542774346,0.8078539282460695,0.0,0.0
 0.06157965221253337,0.009480133916541414,0.1539491305313334,2.4999999999999996,73.86247037116443,-131.10700517922373,1.237847542774346,0.8078539282460695,0.0,0.0
 0.08699080096690141,0.018918498632157638,0.37142613294858695,8.55833022424342,73.19158403834358,-130.58047102187746,1.243956605977481,0.8038865625977493,-26.401259514311764,-1038.963636375295
 0.1064263661439596,0.028316428526520374,0.48354291777715247,5.768640315173781,72.5203162217529,-130.05393686453118,1.2495927410049967,0.8002607307047419,-34.53811661638904,-418.65811608514747
 0.122760324196261,0.03767524299192775,0.5729667258505514,5.474717627354226,71.84885478552607,-129.52740270718488,1.2547488332071464,0.7969722493736004,-41.10831153580873,-402.2414468300888
 0.13710761594945145,0.04699624587835567,0.6496698503642806,5.346174444154066,71.17738797973966,-129.0008685498386,1.2594187512767716,0.7940170804875039,-46.80094455018609,-396.77404713760455
 0.15004096100567044,0.056280724948762774,0.7178714423878043,5.27331419111323,70.50610412749919,-128.47433439249232,1.2635973688208462,0.7913913281832583,-51.90334359150951,-394.51503220119673
 0.1619011443391508,0.06552995134581632,0.7798552633620529,5.226211031601275,69.83519131160743,-127.94780023514605,1.2672805804378913,0.789091236334154,-56.56850295035662,-393.34631073347197
 0.17291058853765054,0.0747451790710917,0.8370293321920035,5.193183942722707,69.16483706251647,-127.42126607779977,1.2704653135894486,0.7871131854632832,-60.8890182832583,-392.43718892643454
 0.1832240644433573,0.08392764447785885,0.8903366324525198,5.168703621154517,68.4952280484034,-126.8947319204535,1.2731495349930437,0.7854536898569922,-64.92563906049736,-391.3928547605829
 0.19295446693814186,0.09307856577845619,0.9404463284537483,5.149807115182228,67.82654976889603,-126.3681977631072,1.275332251926351,0.7841093946220916,-68.720515915533,-390.00204329365255
 0.20218718314196454,0.10219914256720578,0.9878541252002668,5.134761612935741,67.15898625380702,-125.84166360576093,1.2770135087988899,0.7830770724896731,-72.30413026370502,-388.1430197852583
 0.21098867776241012,0.11129055535982534,1.0329396522609369,5.122485328337061,66.49271976773059,-125.31512944841465,1.27819437870712,0.7823536205905469,-75.69924368626121,-385.7428276635498
 0.21941190956751383,0.12035396515015717,1.0760014683248107,5.112267721016807,65.82793052198237,-124.78859529106836,1.278876949717147,0.7819360574300545,-78.92329940930951,-382.7575683118213
 0.22749990152529367,0.1293905129850458,1.1172795277320196,5.1036227066847495,65.1647963949979,-124.26206113372209,1.2790643073159493,0.7818215192779857,-81.98995874947688,-379.16201650244534
 0.23528818037298582,0.1384013195580768,1.1569702047457007,5.096206464852297,64.50349266191989,-123.73552697637581,1.2787605112718858,0.7820072571723192,-84.91012533198713,-374.94376352171673
 0.24280649482486946,0.14738748482284844,1.1952366879946401,5.089768922787228,63.84419173480455,-123.20899281902953,1.2779705694743067,0.7824906331069503,-87.69265123649664,-370.0996975209454
 0.2500800572827791,0.15635008762639527,1.2322163802691266,5.084123837318936,63.18706291388618,-122.68245866168324,1.27670040653553,0.7832691169211831,-90.34483785916638,-364.63378681592513
 0.25713046133296674,0.16529018536326082,1.2680262965393614,5.079129652049051,62.53227215120691,-122.15592450433697,1.274956829555317,0.7843402826029668,-92.87279963222038,-358.5555884540723
 0.2639763729205243,0.1742088136506893,1.3027670856337246,5.074676856403556,61.879981826932564,-121.62939034699069,1.2727474901635238,0.785701804740168,-95.28173362038287,-351.8792139443838
 0.2706340599594395,0.18310698602532377,1.3365260821999074,5.070679406955632,61.230350539165,-121.1028561896444,1.2700808431918558,0.787351455114375,-97.57612275409755,-344.6225573992326
 0.2771178043083575,0.1919856936617128,1.3693796606694952,5.0670687648365655,60.58353290798953,-120.57632203229812,1.2669661031482589,0.7892870989327337,-99.75989125533876,-336.80669436104836
 0.2834402265825065,0.20084590511285663,1.401395077227164,5.0637896631125985,59.93967939387965,-120.04978787495185,1.263413197953736,0.7915066912547942,-101.83652502023612,-328.4554044085688
 0.2896125453587747,0.20968856607297087,1.4326319298532046,5.0607970453733975,59.298936131024945,-119.52325371760556,1.259432720668711,0.7940082733987075,-103.80916574145219,-319.59475728969875
 0.29564478629770685,0.21851459916254196,1.4631433291412035,5.058053813977787,58.66144477590374,-118.99671956025928,1.2550358795748184,0.7967899693344069,-105.68068510109224,-310.2527532614326
 0.30154595254170113,0.22732490373570474,1.4929768470985176,5.055529148611298,58.02734237123681,-118.470185402913,1.2502344474928075,0.7998499817417268,-107.45374362436715,-300.45900250300326
 0.30732416482268776,0.23612035570990647,1.5221752934109767,5.053197233431068,57.39676122518379,-117.94365124556671,1.245040708795117,0.8031865889491645,-109.13083759971383,-290.244437862765
 0.3129867776234073,0.24490180741771064,1.550777356115237,5.051036281453984,56.76982880637945,-117.41711708822044,1.2394674080173422,0.8067981405010113,-110.71433644989352,-279.6410254253096
 0.31854047622279397,0.253670087480611,1.5788181346155,5.0490277782377,56.14666765387449,-116.89058293087416,1.2335276958366916,0.8106830542801134,-112.20651271457018,-268.6815350119014
 0.32399135834437126,0.262426000704577,1.6063295864179068,5.047155889411536,55.52739530278734,-116.36404877352788,1.2272350771173757,0.8148398123926486,-113.60956580509301,-257.3992721231016
